text,target
ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative
សេវាកម្មអ៊ីនធឺណិតល្បឿនលឿន តម្លៃសមរម្យ,Positive
ផលិតផលថ្មីនេះប្រើប្រាស់បានល្អណាស់ អស្ចារ្យមែនទែន,Positive
ភោជនីយដ្ឋាននេះមិនសូវស្អាត ម្ហូបក៏មិនឆ្ងាញ់ដែរ,Negative
សម្តែងបទចម្រៀងបានពីរោះណាស់ ពិតជាមានទេពកោសល្យ,Positive
សម្ភារៈការិយាល័យទាំងនេះគុណភាពអន់ណាស់ ខូចលឿន,Negative
កម្មវិធីសិល្បៈនេះមិនសូវទាក់ទាញ អ្នកសម្តែងនៅខ្វះបទពិសោធន៍,Negative
ម៉ូតូម៉ាកថ្មីនេះបើកស្រួល សន្សំសំចៃប្រេងសាំង,Positive
អ្នកបើកតាក់ស៊ីនេះមានអធ្យាស្រ័យល្អ និយាយស្តីសមរម្យ,Positive
រោងកុននេះកៅអីស្រួលអង្គុយ ម៉ាស៊ីនបញ្ចាំងល្អ,Positive
ទូរស័ព្ទស្មាតហ្វូននេះឆាប់ហោះថ្ម មិនសមនឹងតម្លៃ,Negative
សេវាកម្មសម្អាតការិយាល័យមិនទៀងទាត់ ធ្វើការមិនម៉ត់ចត់,Negative
កម្មវិធីប្រគំតន្ត្រីនេះរៀបចំបានល្អ អ្នកចូលរួមច្រើន,Positive
ទូរទស្សន៍ស្មាតធីវីនេះងាយស្រួលប្រើ រូបភាពច្បាស់ស្អាត,Positive
ហាងកាត់សក់នេះកាត់មិនស្អាត តម្លៃថ្លៃទៀត,Negative
ភាពយន្តរឿងនេះមានខ្លឹមសារល្អ បង្រៀនមេរៀនជីវិត,Positive
កម្មវិធីរាំកម្សាន្តនេះសប្បាយណាស់ តន្ត្រីពិរោះ,Positive
ម៉ាស៊ីនត្រជាក់នេះមិនសូវត្រជាក់ ប្រើអគ្គិសនីច្រើន,Negative
គ្លីនិកធ្មេញនេះមានពេទ្យជំនាញ តម្លៃសមរម្យ,Positive
ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប ក្រុមទាំងពីរលេងល្អ,Positive
កង់អគ្គិសនីនេះបើកលឿន ថ្មប្រើបានយូរ,Positive
សេវាកម្មជួសជុលផ្ទះមិនល្អ ជាងធ្វើការមិនស្អាត,Negative
ទូទឹកកកនេះត្រជាក់ល្អ សន្សំសំចៃថាមពល,Positive
សេវាកម្មក្រុមហ៊ុនដឹកជញ្ជូនយឺតយ៉ាវ ទំនិញខូចខាត,Negative
ការសម្តែងរបាំប្រពៃណីនេះស្រស់ស្អាត មានអត្ថន័យ,Positive
ម៉ាស៊ីនបោកខោអាវនេះសំអាតស្អាត មិនខូចខាតសម្លៀកបំពាក់,Positive
អ្នកថែសួនច្បារមិនសូវយកចិត្តទុកដាក់ ដើមឈើងាប់ច្រើន,Negative
លោ្ខននេះសម្តែងមិនសូវពូកែ អត់មានអារម្មណ៍,Negative
កុំព្យូទ័រនេះដំណើរការលឿន អេក្រង់ច្បាស់ល្អ,Positive
សេវាកម្មសណ្ឋាគារល្អណាស់ បុគ្គលិកមានវិជ្ជាជីវៈ,Positive
ការប្រកួតចម្រៀងនេះមិនយុត្តិធម៌ លម្អៀង,Negative
ស្បែកជើងកីឡានេះស្រួលពាក់ ថ្លៃតែសមតម្លៃ,Positive
សេវាកម្មអ៊ីនធឺណេតដំណើរការមិនល្អ ដាច់ញឹកញាប់,Negative
កម្មវិធីទូរទស្សន៍នេះមានខ្លឹមសារល្អ ពិសេសណាស់,Positive
ក្រដាសបោះពុម្ពនេះគុណភាពល្អ ពណ៌ស្អាត,Positive
សេវាកម្មជួសជុលម៉ូតូមានជំនាញ តម្លៃសមរម្យ,Positive
ភាពយន្តភាគនេះមានរឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍,Positive
សេវាកម្មធនាគារមានភាពយឺតយ៉ាវ រង់ចាំយូរ,Negative
កម្មវិធីសម្តែងសិល្បៈនេះមានការច្នៃប្រឌិតខ្ពស់,Positive
ឧបករណ៍អេឡិចត្រូនិកនេះប្រើការបានល្អ មានមុខងារច្រើន,Positive
សេវាកម្មថែទាំសម្ផស្សមិនល្អ បុគ្គលិកមិនមានជំនាញ,Negative
ការសម្តែងភ្លេងប្រពៃណីនេះពិរោះ រក្សាបាននូវវប្បធម៌,Positive
ទូរស័ព្ទនេះថតរូបមិនច្បាស់ អត់មានមុខងារទំនើបៗ,Negative
សេវាកម្មបោកគក់ល្អណាស់ សម្លៀកបំពាក់ស្អាត,Positive
កម្មវិធីរាំកម្សាន្តនេះមិនសូវសប្បាយ អ្នកចូលរួមតិច,Negative
គ្រឿងសង្ហារឹមនេះគុណភាពល្អ ប្រើប្រាស់បានយូរ,Positive
សេវាកម្មជួលរថយន្តមិនទុកចិត្ត រថយន្តចាស់ៗ,Negative
ការសម្តែងល្ខោននេះមានអត្ថន័យជ្រាលជ្រៅ សិល្បករសម្ដែងពូកែ,Positive
កាមេរ៉ាឌីជីថលនេះថតរូបបានស្អាតណាស់ ពណ៌ធម្មជាតិ,Positive
សេវាកម្មបញ្ជាទិញអនឡាញមានបញ្ហាច្រើន ប្រព័ន្ធដំណើរការមិនល្អ,Negative
ការសម្តែងរបស់តារាចម្រៀងម្នាក់នេះគួរឱ្យចាប់អារម្មណ៍ខ្លាំង,Positive
កង់ថ្មីនេះមិនស្រួលជិះ ហ្វ្រាំងមិនសូវល្អ,Negative
សេវាកម្មម្ហូបដល់ផ្ទះរហ័សទាន់ចិត្ត ម្ហូបក៏នៅក្តៅ,Positive
កម្មវិធីសិល្បៈវប្បធម៌នេះរៀបចំមិនបានល្អ,Negative
ទូរទស្សន៍ស្មាតធីវីនេះមានមុខងារទំនើបៗ គុណភាពខ្ពស់,Positive
គ្លីនិកធ្មេញនេះពេទ្យពិនិត្យមិនល្អិតល្អន់ តម្លៃថ្លៃពេក,Negative
ភាពយន្តភាគថ្មីនេះមានរឿងរ៉ាវគួរឱ្យចាប់អារម្មណ៍ខ្លាំង,Positive
ឧបករណ៍បាញ់ថ្នាំសម្លាប់សត្វល្អិតនេះប្រើការមិនបានល្អ,Negative
សេវាកម្មសណ្ឋាគារនេះល្អឥតខ្ចោះ បុគ្គលិកមានវិជ្ជាជីវៈខ្ពស់,Positive
កម្មវិធីប្រកួតកីឡានេះរៀបចំបានល្អណាស់,Positive
ម៉ាស៊ីនកិនស្រូវនេះធ្វើការលឿន គុណភាពល្អ,Positive
អ្នកដឹកជញ្ជូនឥវ៉ាន់មកយឺតពេល ហើយទំនិញខូចខាតទៀត,Negative
កៅអីការិយាល័យថ្មីនេះអង្គុយស្រួល ធ្វើពីឈើល្អ,Positive
សេវាកម្មជួសជុលទូរទស្សន៍នេះថ្លៃពេក ហើយជួសយូរទៀត,Negative
ការសម្តែងរបាំប្រពៃណីនេះធ្វើឱ្យយើងនឹកឃើញដល់អតីតកាល,Positive
ស្បែកជើងកីឡាថ្មីនេះពាក់ស្រួល ធន់ទៀតផង,Positive
ភាពយន្តរឿងនេះមើលទៅធុញ គ្មានរសជាតិ,Negative
ម៉ាស៊ីនបោកខោអាវនេះសំអាតស្អាត ប្រើថាមពលតិច,Positive
បុគ្គលិកធនាគារនេះនិយាយស្តីមិនសមរម្យ គ្មានវិជ្ជាជីវៈ,Negative
កម្មវិធីសម្តែងសៀកនេះគួរឱ្យទាក់ទាញ,Positive
ទូរស័ព្ទស្មាតហ្វូននេះថតរូបច្បាស់ល្អ ប្រើប្រាស់ងាយស្រួល,Positive
សេវាកម្មបង់វិក្កយបត្រមានភាពស្មុគស្មាញ ចំណាយពេលច្រើន,Negative
ការប្រកួតបាល់ទាត់នេះគួរឱ្យរំភើប កីឡាករលេងល្អ,Positive
ទូទឹកកកនេះប្រើថាមពលច្រើន តម្លៃមិនសមរម្យ,Negative
សេវាកម្មអ៊ីនធឺណិតល្បឿនលឿន តម្លៃសមរម្យ,Positive
ការសម្តែងល្ខោននេះគួរឱ្យចាប់អារម្មណ៍ សិល្បករសម្ដែងបានល្អ,Positive
កង់អគ្គិសនីនេះមានបញ្ហាច្រើន ជួសញឹកញាប់,Negative
សេវាកម្មជួសជុលទូទឹកកកនេះល្អណាស់ ជាងមានជំនាញ,Positive
ព្រឹត្តិការណ៍តន្ត្រីនេះមានការរៀបចំល្អ អ្នកចូលរួមច្រើន,Positive
គ្រឿងសង្ហារឹមនេះគុណភាពអន់ ងាយខូច,Negative
សេវាកម្មសម្អាតការិយាល័យមិនទៀងទាត់ ធ្វើការមិនស្អាត,Negative
កម្មវិធីប្រគំតន្ត្រីនេះមានការរៀបចំល្អ តន្ត្រីពិរោះ,Positive
ម៉ាស៊ីនកិនកាហ្វេនេះមានសំលេងរំខាន ប្រើការមិនបានយូរ,Negative
សេវាកម្មថែទាំសួនច្បារល្អណាស់ មើលទៅស្រស់ស្អាត,Positive
ការសម្តែងរបស់ក្រុមសិល្បៈនេះមានជំនាញខ្ពស់,Positive
ម៉ូតូថ្មីនេះបើកស្រួល សន្សំប្រេង តម្លៃសមរម្យ,Positive
សេវាកម្មជួលរថយន្តមិនល្អ រថយន្តចាស់ៗ សេវាកម្មយឺត,Negative
កាបូបថ្មីនេះមានគុណភាពល្អ ដេរយ៉ាងជាប់,Positive
សេវាកម្មម៉ាស្សាមិនល្អ អ្នកម៉ាស្សាគ្មានជំនាញ,Negative
ការសម្តែងរបាំនេះមានលក្ខណៈវិជ្ជាជីវៈខ្ពស់,Positive
ឧបករណ៍ភ្លេងថ្មីនេះមានគុណភាពល្អ សំឡេងពិរោះ,Positive
សេវាកម្មជួសជុលផ្ទះមានតម្លៃសមរម្យ ធ្វើការបានល្អ,Positive
កម្មវិធីប្រកួតចម្រៀងនេះមានលក្ខណៈវិជ្ជាជីវៈ,Positive
ទូរស័ព្ទថ្មីនេះមានបញ្ហាច្រើន ប្រើការមិនបានល្អ,Negative
សេវាកម្មបោកគក់នេះធ្វើឱ្យខូចសម្លៀកបំពាក់,Negative
ការសម្តែងសិល្បៈនេះមានការច្នៃប្រឌិតថ្មី,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Negative
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Positive
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Negative
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Positive
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Negative
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Positive
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Negative
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Positive
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Negative
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Positive
ផលិតផលមិនទាន់គុណភាព,Negative
សេវាកម្មលឿន និងទំនាក់ទំនងល្អ,Positive
ការសម្តែងក្នុងភាពយន្តធម្មតាប៉ុណ្ណោះ,Negative
ផលិតផលនេះគ្មានតម្លៃដូចមុន,Positive
សេវាកម្មនៅឯកន្លែងនេះល្អណាស់,Negative
ការបរិភោគតាមកន្លែងកម្សាន្តនេះអស្ចារ្យ,Positive
ផលិតផលដែលគេនិយាយអត់ត្រឹមត្រូវ,Negative
ផលិតផលនេះគឺល្អជាមួយគុណភាពខ្ពស់,Positive
សេវាកម្មមិនបានបំពេញចិត្តខ្ញុំ,Positive
ភាពយន្តនេះមានកម្រិតកម្សាន្តខ្ពស់,Negative
ផលិតផលមិនទាន់គុណភាព,Positive
